Id,log2FoldChange.minusSICOvsAll
OG2007,
OG2008,-0.6970000000000001
OG2009,-0.937
OG201,0.19899999999999998
OG2010,-0.978
OG2011,
OG2012,-1.646
OG2013,0.544
OG2014,-0.42100000000000004
OG2015,-2.035
OG2016,0.0
OG2017,0.5479999999999999
OG2018,0.34299999999999997
OG2019,
OG202,-4.0360000000000005
OG2020,-0.043
OG2021,0.317
OG2022,0.929
OG2023,0.105
OG2024,0.11
OG2025,-2.0669999999999997
OG2026,-1.127
OG2027,-1.127
OG2028,-1.18
OG2029,0.069
OG203,0.847
OG2030,0.139
OG2031,-2.312
OG2032,-2.129
OG2033,-0.526
OG2034,0.431
OG2035,0.976
OG2036,-0.631
OG2037,1.767
OG2038,0.597
OG2039,1.198
OG204,0.22
OG2040,0.162
OG2041,-1.666
OG2042,-9.998
OG2043,-0.8809999999999999
OG2044,-1.6969999999999998
OG2045,-2.6310000000000002
OG2046,-2.859
OG2047,-3.319
OG2048,0.053
OG2049,
OG205,-0.56
OG2050,-0.603
OG2051,0.121
OG2052,0.9259999999999999
OG2053,-0.324
OG2054,-0.682
OG2055,-0.127
OG2056,0.882
OG2057,-0.428
OG2058,-3.04
OG2059,-0.8909999999999999
OG206,-0.051
OG2060,-0.43799999999999994
OG2061,-1.127
OG2062,1.075
OG2063,1.2309999999999999
OG2064,-0.043
OG2065,-0.662
OG2066,0.721
OG2067,0.7040000000000001
OG2068,1.4880000000000002
OG2069,0.8290000000000001
OG207,-1.265
OG2070,0.303
OG2071,-0.10300000000000001
OG2072,-3.503
OG2073,0.25
OG2074,-3.391
OG2075,1.004
OG2076,-4.986000000000001
OG2077,-0.165
OG2078,-0.473
OG2079,-0.297
OG208,-0.35200000000000004
OG2080,-0.466
OG2081,
OG2082,-0.17800000000000002
OG2083,0.142
OG2084,0.044000000000000004
OG2085,0.493
OG2086,-1.4909999999999999
OG2087,-0.982
OG2088,-5.893
OG2089,-2.151
OG209,-0.251
OG2090,0.034
OG2091,-0.945
OG2092,0.354
OG2093,-0.542
OG2094,-0.687
OG2095,1.02
OG2096,1.0
OG2097,-0.23199999999999998
OG2098,-0.465
OG2099,-0.5539999999999999
OG21,-0.601
OG210,1.2819999999999998
OG2100,-0.621
OG2101,-0.019
OG2102,-0.466
OG2103,-0.675
OG2104,-0.273
OG2105,0.36
OG2106,-0.639
OG2107,-1.012
OG2108,-0.521
OG2109,0.479
OG211,-7.621
OG2110,-0.618
OG2111,-1.13
OG2112,0.107
OG2113,0.027000000000000003
OG2114,-0.722
OG2115,-0.43799999999999994
OG2116,-2.9789999999999996
OG2117,-0.309
OG2118,-0.775
OG2119,-0.249
OG212,-0.024
OG2120,0.1
OG2121,0.011000000000000001
OG2122,-0.595
OG2123,0.534
OG2124,-0.149
OG2125,-0.32
OG2126,0.267
OG2127,-1.127
OG2128,
OG2129,-0.634
OG213,0.134
OG2130,
OG2131,0.617
OG2132,0.69
OG2133,
OG2134,
OG2135,
OG2136,
OG2137,
OG2138,
OG2139,
OG214,0.0
OG2140,
OG2141,
OG2142,
OG2143,
OG2144,
OG2145,
OG2146,
OG2147,
OG2148,
OG2149,-1.127
OG215,-6.945
OG2150,-8.161
OG2151,-0.457
OG2152,0.0
OG2153,-0.7290000000000001
OG2154,0.0
OG2155,-2.8930000000000002
OG2156,0.174
OG2157,0.655
OG2158,-0.20199999999999999
OG2159,-0.34600000000000003
OG216,-1.041
OG2160,-0.5589999999999999
OG2161,0.397
OG2162,-0.502
OG2163,-0.040999999999999995
OG2164,0.469
OG2165,-3.4210000000000003
OG2166,0.048
OG2167,
OG2168,0.17600000000000002
OG2169,-0.41
OG217,-1.651
OG2170,-0.594
OG2171,-0.266
OG2172,-3.7760000000000002
OG2173,-0.88
OG2174,-1.006
OG2175,-0.311
OG2176,-0.083
OG2177,-1.579
OG2178,-0.21600000000000003
OG2179,
OG218,-0.293
OG2180,
OG2181,0.0
OG2182,0.797
OG2183,-0.747
OG2184,1.158
OG2185,
OG2186,-1.984
OG2187,0.265
OG2188,-1.874
OG2189,-0.040999999999999995
OG219,0.314
OG2190,-2.023
OG2191,-1.859
OG2192,-0.84
OG2193,0.0
OG2194,-7.1370000000000005
